hotel_id,hotel_name,hotel_url
ho118565,Carlton Hotel Singapore,https://sg.hotels.com/ho118565/
ho148806,Royal Plaza on Scotts,https://sg.hotels.com/ho148806/
ho105367,Fairmont Singapore,https://sg.hotels.com/ho105367/
ho144875,Marina Mandarin,https://sg.hotels.com/ho144875/
ho126334,Pan Pacific Singapore,https://sg.hotels.com/ho126334/
ho220613,Shangri-La's Rasa Sentosa Resort & Spa,https://sg.hotels.com/ho220613/
ho424737,Amaris Hotel by Santika,https://sg.hotels.com/ho424737/
ho213384,"Mandarin Oriental, Singapore",https://sg.hotels.com/ho213384/
ho221376,Somerset Bencoolen Singapore,https://sg.hotels.com/ho221376/
ho192673,The Fullerton Hotel Singapore,https://sg.hotels.com/ho192673/
ho643063,Hotel G Singapore,https://sg.hotels.com/ho643063/
ho115988,Orchard Hotel Singapore,https://sg.hotels.com/ho115988/
ho491732,Park Hotel Alexandra,https://sg.hotels.com/ho491732/
ho106976,Six Senses Duxton,https://sg.hotels.com/ho106976/
ho105478,"Shangri-La Hotel, Singapore",https://sg.hotels.com/ho105478/
ho474747,Hotel Jen Orchardgateway Singapore,https://sg.hotels.com/ho474747/
ho121538,"The Ritz-Carlton, Millenia Singapore",https://sg.hotels.com/ho121538/
ho476948064,M Social Singapore,https://sg.hotels.com/ho476948064/
ho278663,"Le Méridien Singapore, Sentosa",https://sg.hotels.com/ho278663/
ho634254464,30 Bencoolen,https://sg.hotels.com/ho634254464/
ho739633024,Butternut Tree Hotel,https://sg.hotels.com/ho739633024/
ho134927,Village Hotel Bugis,https://sg.hotels.com/ho134927/
ho191947,Grand Mercure Singapore Roxy,https://sg.hotels.com/ho191947/
ho133982,Four Seasons Hotel Singapore,https://sg.hotels.com/ho133982/
ho119431,Hotel Jen Tanglin Singapore,https://sg.hotels.com/ho119431/
ho215930,Hotel 1929,https://sg.hotels.com/ho215930/
ho171778,PARKROYAL on Kitchener Road,https://sg.hotels.com/ho171778/
ho164345,PARKROYAL on Beach Road,https://sg.hotels.com/ho164345/
ho477997,Park Hotel Clarke Quay,https://sg.hotels.com/ho477997/
ho377505,Bay Hotel Singapore,https://sg.hotels.com/ho377505/
ho309315,The Quincy Hotel,https://sg.hotels.com/ho309315/
ho337770,Wangz Hotel Singapore,https://sg.hotels.com/ho337770/
ho153050,Rendezvous Hotel Singapore,https://sg.hotels.com/ho153050/
ho533852192,Sofitel Singapore City Centre,https://sg.hotels.com/ho533852192/
ho439438,Holiday Inn Express Singapore Clarke Quay,https://sg.hotels.com/ho439438/
ho132614,Copthorne Kings Singapore,https://sg.hotels.com/ho132614/
ho464363,Orchid Hotel,https://sg.hotels.com/ho464363/
ho630287264,Hotel Mi,https://sg.hotels.com/ho630287264/
ho106235,"Regent Singapore, A Four Seasons Hotel",https://sg.hotels.com/ho106235/
ho611363776,YOTEL Singapore Orchard Road,https://sg.hotels.com/ho611363776/
ho115140,Village Hotel Katong,https://sg.hotels.com/ho115140/
ho140987,Robertson Quay Hotel,https://sg.hotels.com/ho140987/
ho300462,Grand Park City Hall,https://sg.hotels.com/ho300462/
ho455941,Bliss Hotel Singapore,https://sg.hotels.com/ho455941/
ho431564416,Oasia Hotel Downtown Singapore,https://sg.hotels.com/ho431564416/
ho873180096,RedDoorz @ Aljunied,https://sg.hotels.com/ho873180096/
ho425967,Dorsett Singapore,https://sg.hotels.com/ho425967/
ho555794,Hotel Grand Central,https://sg.hotels.com/ho555794/
ho112533,Orchard Parade Hotel,https://sg.hotels.com/ho112533/
ho616384032,Hotel NuVe Urbane,https://sg.hotels.com/ho616384032/
ho456054,YMCA @ One Orchard,https://sg.hotels.com/ho456054/
ho224635,The Scarlet Singapore,https://sg.hotels.com/ho224635/
